Gamer_ID,First_Name,Last_Name,Email,Phone,City,Country
1,John,Doe,john.doe@example.com,1234567890,New York,USA
2,Jane,Smith,jane.smith@example.com,0987654321,Los Angeles,USA
3,Robert,Brown,robert.brown@example.com,1231231234,Chicago,USA
4,Linda,Johnson,linda.johnson@example.com,4321432143,Houston,USA
5,Michael,Williams,michael.williams@example.com,5678567856,Phoenix,USA
6,Emily,Jones,emily.jones@example.com,6789678967,Philadelphia,USA
7,David,Garcia,david.garcia@example.com,7890789078,San Antonio,USA
8,Laura,Miller,laura.miller@example.com,8901890189,San Diego,USA
9,James,Davis,james.davis@example.com,9012901290,Dallas,USA
10,Patricia,Martinez,patricia.martinez@example.com,1234123412,San Jose,USA
